U.S. Inflation|1.00
U.S. Cash|-0.03,1.00
U.S. Intermediate Treasuries|-0.27,0.17,1.00
U.S. Long Treasuries|-0.22,0.03,0.83,1.00
TIPS|-0.02,0.02,0.62,0.60,1.00
U.S. Aggregate Bonds|-0.24,0.08,0.84,0.85,0.76,1.00
U.S. Securitized|-0.23,0.10,0.78,0.74,0.69,0.93,1.00
U.S. Short Duration Government/Credit|-0.30,0.28,0.84,0.59,0.63,0.82,0.76,1.00
U.S. Long Duration Government/Credit|-0.22,0.02,0.74,0.90,0.69,0.94,0.81,0.66,1.00
U.S. Inv Grade Corporate Bonds|-0.19,0.01,0.52,0.60,0.72,0.87,0.75,0.66,0.85,1.00
U.S. Long Corporate Bonds|-0.19,0.00,0.51,0.67,0.67,0.87,0.74,0.60,0.91,0.97,1.00
U.S. High Yield Bonds|0.00,-0.05,-0.02,0.00,0.48,0.38,0.38,0.28,0.33,0.66,0.60,1.00
U.S. Leveraged Loans|0.18,-0.05,-0.37,-0.28,0.18,0.03,0.04,-0.05,0.03,0.36,0.31,0.77,1.00
World Government Bonds hedged|-0.29,0.10,0.86,0.87,0.62,0.87,0.78,0.72,0.84,0.66,0.68,0.12,-0.20,1.00
World Government Bonds|-0.17,0.09,0.75,0.66,0.69,0.80,0.72,0.74,0.74,0.69,0.68,0.33,-0.05,0.72,1.00
World ex-U.S. Government Bonds hedged|-0.28,0.10,0.72,0.74,0.58,0.79,0.70,0.63,0.77,0.64,0.66,0.19,-0.10,0.96,0.66,1.00
World ex-U.S. Government Bonds|-0.16,0.08,0.65,0.55,0.65,0.74,0.67,0.68,0.68,0.68,0.67,0.40,0.04,0.64,0.98,0.61,1.00
Emerging Markets Sovereign Debt|-0.14,0.03,0.31,0.34,0.62,0.66,0.60,0.49,0.62,0.82,0.78,0.75,0.45,0.44,0.60,0.46,0.64,1.00
Emerging Markets Local Currency Debt|-0.05,0.09,0.22,0.18,0.45,0.47,0.42,0.41,0.43,0.61,0.58,0.62,0.35,0.26,0.61,0.28,0.67,0.81,1.00
Emerging Markets Corporate Bonds|-0.07,-0.02,0.19,0.23,0.55,0.57,0.50,0.44,0.52,0.80,0.73,0.73,0.57,0.31,0.48,0.32,0.51,0.89,0.73,1.00
U.S. Muni 1-15 Yr Blend|-0.17,0.06,0.52,0.51,0.58,0.72,0.69,0.55,0.64,0.69,0.66,0.42,0.18,0.60,0.55,0.59,0.54,0.63,0.39,0.50,1.00
U.S. Muni High Yield|0.17,-0.05,0.15,0.25,0.47,0.43,0.43,0.20,0.39,0.55,0.49,0.50,0.49,0.29,0.26,0.30,0.28,0.57,0.31,0.55,0.64,1.00
U.S. Large Cap|0.00,0.00,-0.06,-0.03,0.31,0.26,0.26,0.12,0.25,0.49,0.47,0.74,0.58,0.09,0.29,0.16,0.37,0.62,0.60,0.57,0.23,0.33,1.00
U.S. Mid Cap|0.00,-0.04,-0.10,-0.05,0.31,0.25,0.25,0.10,0.24,0.50,0.47,0.78,0.62,0.05,0.26,0.13,0.34,0.62,0.60,0.58,0.25,0.33,0.96,1.00
U.S. Small Cap|-0.03,-0.05,-0.13,-0.10,0.22,0.18,0.20,0.05,0.17,0.40,0.38,0.71,0.55,0.00,0.20,0.08,0.27,0.53,0.54,0.48,0.18,0.24,0.90,0.95,1.00
Euro Area Large Cap|-0.02,0.05,-0.02,-0.04,0.29,0.29,0.29,0.22,0.26,0.50,0.48,0.73,0.52,0.06,0.41,0.12,0.49,0.68,0.73,0.62,0.27,0.30,0.85,0.84,0.77,1.00
Japanese Equity|-0.07,0.00,-0.01,0.02,0.28,0.30,0.30,0.21,0.30,0.52,0.50,0.67,0.49,0.08,0.33,0.13,0.40,0.60,0.62,0.58,0.25,0.29,0.74,0.74,0.68,0.77,1.00
Hong Kong Equity|-0.04,-0.05,-0.06,-0.03,0.23,0.26,0.24,0.18,0.24,0.48,0.44,0.59,0.49,-0.02,0.29,-0.01,0.36,0.59,0.67,0.64,0.26,0.34,0.58,0.60,0.53,0.68,0.59,1.00
UK Large Cap|0.04,0.00,-0.14,-0.14,0.25,0.19,0.20,0.11,0.18,0.45,0.43,0.72,0.61,-0.05,0.31,0.01,0.40,0.61,0.66,0.60,0.20,0.34,0.82,0.81,0.73,0.91,0.75,0.73,1.00
EAFE Equity|-0.02,0.03,-0.04,-0.04,0.32,0.30,0.29,0.21,0.28,0.54,0.52,0.77,0.58,0.06,0.41,0.11,0.49,0.70,0.75,0.66,0.26,0.33,0.88,0.88,0.80,0.97,0.85,0.73,0.95,1.00
Chinese Domestic Equity|-0.05,0.06,-0.05,-0.02,0.11,0.16,0.15,0.10,0.14,0.29,0.26,0.34,0.29,0.02,0.15,0.02,0.18,0.34,0.36,0.40,0.11,0.18,0.35,0.35,0.32,0.38,0.35,0.59,0.40,0.41,1.00
Emerging Markets Equity|-0.01,0.03,-0.05,-0.02,0.33,0.29,0.27,0.21,0.27,0.53,0.49,0.72,0.57,0.04,0.39,0.08,0.47,0.70,0.80,0.70,0.24,0.37,0.74,0.76,0.68,0.82,0.70,0.84,0.81,0.86,0.56,1.00
AC Asia ex-Japan Equity|-0.06,0.02,-0.02,0.02,0.32,0.31,0.29,0.23,0.30,0.54,0.51,0.69,0.53,0.06,0.38,0.09,0.45,0.68,0.75,0.69,0.26,0.37,0.71,0.72,0.66,0.78,0.69,0.88,0.77,0.83,0.61,0.98,1.00
AC World Equity|-0.01,0.01,-0.06,-0.04,0.34,0.29,0.28,0.18,0.28,0.54,0.51,0.79,0.61,0.07,0.37,0.14,0.45,0.69,0.71,0.65,0.25,0.34,0.96,0.95,0.87,0.93,0.82,0.70,0.91,0.97,0.42,0.86,0.83,1.00
U.S. Equity Value Factor|-0.03,-0.04,-0.10,-0.09,0.26,0.22,0.24,0.10,0.20,0.44,0.42,0.74,0.57,0.03,0.25,0.12,0.33,0.58,0.60,0.54,0.20,0.27,0.96,0.97,0.93,0.84,0.74,0.57,0.82,0.87,0.33,0.73,0.69,0.94,1.00
U.S. Equity Momentum Factor|0.01,0.00,-0.07,-0.02,0.35,0.27,0.26,0.11,0.27,0.50,0.48,0.76,0.61,0.08,0.27,0.16,0.34,0.62,0.56,0.57,0.27,0.37,0.97,0.96,0.89,0.81,0.72,0.57,0.78,0.85,0.36,0.74,0.71,0.94,0.91,1.00
U.S. Equity Quality Factor|-0.02,0.00,-0.04,-0.01,0.32,0.28,0.27,0.14,0.27,0.49,0.48,0.73,0.55,0.11,0.30,0.18,0.37,0.63,0.61,0.56,0.26,0.32,0.99,0.95,0.90,0.84,0.73,0.57,0.81,0.87,0.34,0.72,0.69,0.95,0.96,0.96,1.00
U.S. Equity Minimum Volatility Factor|-0.01,-0.07,-0.03,0.02,0.32,0.28,0.27,0.13,0.29,0.49,0.48,0.72,0.53,0.12,0.31,0.20,0.38,0.62,0.62,0.54,0.27,0.32,0.93,0.92,0.85,0.80,0.68,0.55,0.78,0.83,0.30,0.69,0.66,0.90,0.93,0.90,0.95,1.00
U.S. Equity Dividend Yield Factor|-0.01,-0.07,-0.07,-0.05,0.30,0.25,0.25,0.12,0.24,0.47,0.46,0.74,0.57,0.05,0.28,0.13,0.36,0.61,0.62,0.55,0.25,0.30,0.93,0.94,0.89,0.82,0.70,0.59,0.83,0.86,0.31,0.73,0.69,0.91,0.97,0.88,0.93,0.96,1.00
