U.S. Inflation|1.00
Global Convertible Bonds hedged|-0.09,-0.03,-0.07,-0.01,0.35,0.33,0.30,0.20,0.31,0.60,0.56,0.82,0.69,0.09,0.29,0.16,0.36,0.70,0.62,0.70,0.31,0.39,0.86,0.89,0.83,0.82,0.75,0.68,0.78,0.86,0.48,0.81,0.79,0.90,0.83,0.88,0.84,0.77,0.80,1.00
U.S. Core Real Estate|0.33,-0.18,-0.27,-0.19,0.08,-0.13,-0.09,-0.23,-0.13,0.00,-0.02,0.35,0.44,-0.19,-0.16,-0.16,-0.13,0.11,0.12,0.22,-0.20,0.34,0.35,0.33,0.29,0.21,0.24,0.21,0.33,0.27,0.14,0.29,0.27,0.32,0.33,0.32,0.31,0.36,0.32,0.24,1.00
U.S. Value-Added Real Estate|0.33,-0.18,-0.27,-0.19,0.08,-0.13,-0.09,-0.23,-0.13,0.00,-0.02,0.35,0.44,-0.19,-0.16,-0.16,-0.13,0.11,0.12,0.22,-0.20,0.34,0.35,0.33,0.29,0.21,0.24,0.21,0.33,0.27,0.14,0.29,0.27,0.32,0.33,0.32,0.31,0.36,0.32,0.24,1.00,1.00
European Core Real Estate|0.37,-0.09,-0.30,-0.27,0.20,-0.08,-0.04,-0.12,-0.11,0.15,0.08,0.51,0.53,-0.21,0.05,-0.15,0.12,0.30,0.37,0.41,-0.06,0.36,0.53,0.50,0.43,0.49,0.40,0.48,0.57,0.53,0.41,0.60,0.57,0.57,0.47,0.52,0.48,0.43,0.43,0.54,0.66,0.66,1.00
Asia Pacific Core Real Estate|0.20,-0.09,-0.25,-0.23,0.25,0.04,0.07,-0.03,0.02,0.33,0.26,0.66,0.64,-0.19,0.15,-0.13,0.23,0.48,0.51,0.55,0.15,0.49,0.60,0.63,0.54,0.62,0.52,0.64,0.70,0.68,0.36,0.70,0.68,0.67,0.61,0.60,0.57,0.61,0.64,0.61,0.58,0.58,0.64,1.00
U.S. REITs|-0.02,-0.06,0.10,0.19,0.38,0.39,0.38,0.18,0.40,0.53,0.54,0.67,0.42,0.25,0.38,0.30,0.41,0.61,0.58,0.51,0.32,0.35,0.77,0.79,0.76,0.69,0.57,0.47,0.64,0.71,0.17,0.59,0.57,0.75,0.78,0.74,0.78,0.83,0.81,0.66,0.46,0.46,0.36,0.60,1.00
Commercial Mortgage Loans|0.08,0.02,0.24,0.24,0.55,0.48,0.50,0.32,0.38,0.51,0.45,0.49,0.43,0.35,0.30,0.37,0.31,0.57,0.41,0.53,0.51,0.59,0.31,0.33,0.24,0.29,0.15,0.30,0.28,0.29,0.23,0.37,0.35,0.32,0.27,0.35,0.33,0.38,0.32,0.35,0.31,0.31,0.31,0.42,0.41,1.00
Global Core Infrastructure|0.19,0.05,-0.22,-0.24,0.24,0.04,0.07,0.02,-0.02,0.26,0.20,0.57,0.59,-0.17,0.18,-0.11,0.27,0.48,0.52,0.49,0.13,0.34,0.47,0.47,0.41,0.54,0.43,0.52,0.58,0.55,0.17,0.58,0.52,0.54,0.46,0.47,0.46,0.44,0.46,0.45,0.32,0.32,0.47,0.55,0.36,0.41,1.00
Global Core Transport|0.22,0.15,0.04,0.06,-0.06,-0.09,-0.05,-0.09,-0.08,-0.27,-0.22,-0.20,-0.12,0.00,-0.07,-0.04,-0.11,-0.25,-0.10,-0.25,-0.18,-0.04,-0.06,-0.11,-0.08,-0.07,-0.24,-0.09,-0.12,-0.12,-0.14,-0.13,-0.12,-0.10,-0.09,-0.08,-0.05,-0.03,-0.08,-0.25,0.18,0.18,-0.01,0.01,0.10,0.10,0.05,1.00
Global Timberland|-0.05,0.18,-0.08,-0.17,0.17,0.09,0.11,0.13,0.04,0.26,0.22,0.38,0.30,-0.07,0.24,-0.02,0.31,0.41,0.51,0.36,0.13,0.14,0.46,0.48,0.46,0.57,0.39,0.53,0.54,0.56,0.34,0.54,0.50,0.53,0.47,0.46,0.46,0.47,0.48,0.41,-0.01,-0.01,0.25,0.42,0.35,0.09,0.45,0.01,1.00
Commodities|0.27,-0.03,-0.17,-0.23,0.26,-0.01,-0.02,0.02,-0.02,0.19,0.16,0.44,0.41,-0.22,0.20,-0.18,0.28,0.33,0.45,0.34,-0.05,0.19,0.44,0.46,0.38,0.46,0.38,0.42,0.59,0.52,0.19,0.56,0.48,0.52,0.42,0.44,0.41,0.40,0.46,0.43,0.35,0.35,0.55,0.56,0.30,0.12,0.44,-0.12,0.40,1.00
Gold|-0.01,0.10,0.36,0.30,0.47,0.39,0.33,0.37,0.34,0.36,0.32,0.13,-0.04,0.28,0.51,0.22,0.50,0.33,0.39,0.31,0.24,0.16,0.04,0.04,-0.03,0.11,0.05,0.22,0.13,0.13,0.20,0.25,0.22,0.11,0.00,0.06,0.06,0.08,0.05,0.12,-0.08,-0.08,0.10,0.23,0.09,0.39,0.17,0.08,0.23,0.35,1.00
Private Equity|0.09,0.00,-0.33,-0.37,0.18,0.00,0.02,-0.02,-0.06,0.36,0.26,0.72,0.68,-0.24,0.09,-0.15,0.20,0.59,0.60,0.62,0.13,0.38,0.78,0.80,0.75,0.77,0.61,0.68,0.79,0.80,0.50,0.80,0.77,0.83,0.77,0.79,0.77,0.72,0.74,0.81,0.34,0.34,0.63,0.70,0.53,0.35,0.62,-0.19,0.59,0.55,0.11,1.00
Venture Capital|-0.06,-0.07,-0.24,-0.24,0.16,0.03,0.05,-0.03,-0.02,0.27,0.20,0.54,0.51,-0.11,0.02,-0.03,0.10,0.45,0.40,0.47,0.12,0.33,0.64,0.67,0.70,0.55,0.51,0.50,0.55,0.58,0.47,0.61,0.60,0.64,0.60,0.67,0.62,0.54,0.55,0.73,0.26,0.26,0.52,0.44,0.35,0.29,0.42,-0.15,0.40,0.30,0.00,0.76,1.00
Diversified Hedge Funds|0.08,0.04,-0.30,-0.21,0.20,0.04,0.02,-0.05,0.06,0.35,0.31,0.61,0.67,-0.17,0.04,-0.09,0.12,0.46,0.41,0.50,0.10,0.41,0.68,0.71,0.64,0.64,0.59,0.56,0.69,0.70,0.44,0.68,0.64,0.73,0.63,0.74,0.65,0.60,0.61,0.79,0.32,0.32,0.56,0.60,0.42,0.27,0.43,-0.18,0.47,0.51,0.12,0.79,0.70,1.00
Event Driven Hedge Funds|0.07,-0.02,-0.23,-0.21,0.24,0.12,0.13,0.06,0.11,0.42,0.38,0.77,0.76,-0.12,0.15,-0.03,0.24,0.56,0.54,0.58,0.16,0.40,0.80,0.85,0.82,0.77,0.69,0.61,0.80,0.82,0.41,0.75,0.71,0.85,0.81,0.81,0.78,0.72,0.79,0.87,0.35,0.35,0.54,0.67,0.59,0.30,0.49,-0.16,0.48,0.55,0.06,0.83,0.67,0.86,1.00
Long Bias Hedge Funds|0.00,0.00,-0.16,-0.14,0.28,0.20,0.20,0.13,0.19,0.48,0.44,0.77,0.68,-0.05,0.26,0.02,0.35,0.62,0.62,0.62,0.19,0.34,0.87,0.90,0.86,0.83,0.76,0.71,0.84,0.89,0.48,0.85,0.82,0.92,0.86,0.89,0.85,0.78,0.82,0.93,0.28,0.28,0.56,0.65,0.62,0.30,0.51,-0.18,0.51,0.56,0.15,0.85,0.73,0.86,0.93,1.00
Relative Value Hedge Funds|0.13,-0.04,-0.27,-0.22,0.26,0.13,0.13,0.07,0.11,0.45,0.39,0.82,0.86,-0.14,0.09,-0.06,0.18,0.59,0.55,0.64,0.19,0.47,0.69,0.74,0.67,0.69,0.65,0.65,0.75,0.75,0.44,0.76,0.72,0.77,0.70,0.71,0.66,0.64,0.69,0.82,0.40,0.40,0.59,0.71,0.51,0.39,0.54,-0.18,0.44,0.56,0.09,0.79,0.60,0.83,0.91,0.86,1.00
Macro Hedge Funds|0.00,0.05,-0.11,-0.09,0.07,-0.08,-0.16,-0.01,-0.02,0.04,0.05,0.10,0.07,-0.11,0.09,-0.08,0.11,0.08,0.16,0.05,-0.10,-0.06,0.16,0.19,0.14,0.21,0.14,0.18,0.26,0.24,0.11,0.26,0.23,0.23,0.16,0.19,0.16,0.18,0.19,0.24,0.01,0.01,0.13,0.14,0.10,-0.16,0.00,-0.14,0.33,0.42,0.31,0.26,0.14,0.48,0.29,0.33,0.28,1.00
Direct Lending|0.21,0.03,-0.29,-0.27,0.18,0.04,0.13,-0.06,0.00,0.28,0.24,0.67,0.67,-0.15,-0.02,-0.05,0.07,0.48,0.43,0.50,0.17,0.46,0.65,0.69,0.64,0.58,0.48,0.46,0.63,0.61,0.23,0.57,0.52,0.65,0.67,0.65,0.63,0.63,0.66,0.61,0.43,0.43,0.48,0.68,0.55,0.48,0.48,0.05,0.37,0.47,0.06,0.68,0.48,0.63,0.73,0.68,0.74,0.06,1.00
